[Profiler] Pipeline IA tomo: 3.8269 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6553 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.4345 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1629 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.1642 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7106 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8672 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4678 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7151 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4717 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4926 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5876 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.5083 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.092 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.2317 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7325 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.767 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7085 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.3443 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.8805 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.0549 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0905 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8111 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.7517 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.926 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.073 ms | Denoise: ON | VSR (0)
